entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2020-03-05,2020-04-03,2020-03-10,277.1633605957031,39.619998931884766,0.9828,very_high,0.3,256.0,264.0,297.0,305.0,10.67,-267.0,547.0,True,take_profit,,8.0,8.0,thetadata,29
2020-03-12,2020-04-09,2020-03-24,227.35897827148438,75.47000122070312,1.0,very_high,0.3,203.0,210.0,263.0,270.0,6.81,19.0,378.0,True,take_profit,,7.0,7.0,thetadata,28
2020-03-19,2020-04-17,2020-04-08,220.39454650878906,72.0,0.8498,very_high,0.3,196.0,203.0,251.0,258.0,4.18,282.0,-215.0,False,stop_loss,call,7.0,7.0,thetadata,29
2020-03-26,2020-04-24,2020-04-03,240.7616424560547,61.0,0.6952,high,0.25,211.0,218.0,276.0,283.0,3.41,359.0,213.0,True,take_profit,,7.0,7.0,thetadata,29
2020-04-02,2020-05-01,2020-04-17,232.12474060058594,50.90999984741211,0.5533,high,0.25,207.0,214.0,261.0,268.0,3.86,314.0,-252.0,False,stop_loss,call,7.0,7.0,thetadata,29
2020-04-09,2020-05-08,2020-05-06,256.4314270019531,41.66999816894531,0.4235,medium,0.2,226.0,234.0,286.0,294.0,3.83,417.0,228.0,True,take_profit,,8.0,8.0,thetadata,29
2020-04-17,2020-05-18,2020-05-04,264.2109680175781,38.150001525878906,0.374,medium,0.2,235.0,245.0,293.0,301.0,4.14,586.0,234.0,True,take_profit,,10.0,8.0,thetadata,31
2020-04-24,2020-05-22,2020-05-22,260.8281555175781,35.93000030517578,0.3428,medium,0.2,233.0,241.0,287.0,295.0,4.11,389.0,411.0,True,expiration,,8.0,8.0,thetadata,28
2020-05-01,2020-06-01,2020-06-01,260.6622314453125,37.189998626708984,0.3605,medium,0.2,230.0,240.0,287.0,295.0,4.46,554.0,446.0,True,expiration,,10.0,8.0,thetadata,31
2020-06-15,2020-07-15,2020-07-15,283.02392578125,34.400001525878906,0.3213,medium,0.2,255.0,265.0,310.0,318.0,4.06,594.0,406.0,True,expiration,,10.0,8.0,thetadata,30
2020-10-28,2020-11-27,2020-11-16,303.6350402832031,40.279998779296875,0.4039,medium,0.2,270.0,280.0,339.0,348.0,4.01,599.0,-477.0,False,stop_loss,,10.0,9.0,thetadata,30
2021-09-21,2021-10-20,2021-10-12,408.7429504394531,24.360000610351562,0.3685,medium,0.2,375.0,388.0,436.0,448.0,6.21,679.0,368.0,True,take_profit,,13.0,12.0,thetadata,29
2021-09-28,2021-10-27,2021-10-19,408.8278503417969,23.25,0.3245,medium,0.2,380.0,390.0,434.0,446.0,6.92,508.0,-426.0,False,stop_loss,,10.0,12.0,thetadata,29
2021-12-01,2021-12-31,2021-12-10,424.644775390625,31.1200008392334,0.7257,very_high,0.3,395.0,408.0,448.0,461.0,8.55,445.0,-334.0,False,stop_loss,,13.0,13.0,thetadata,30
2022-01-21,2022-02-18,2022-02-17,414.2937316894531,28.850000381469727,0.6234,high,0.25,383.0,395.0,442.0,454.0,6.27,573.0,556.0,True,take_profit,,12.0,12.0,thetadata,28
2022-01-28,2022-02-28,2022-02-23,418.049072265625,27.65999984741211,0.7463,very_high,0.3,390.0,403.0,439.0,452.0,5.44,756.0,456.0,True,take_profit,,13.0,13.0,thetadata,31
2022-02-07,2022-03-09,2022-02-25,423.0718994140625,22.860000610351562,0.4631,medium,0.2,390.0,403.0,450.0,463.0,8.36,464.0,636.0,True,take_profit,,13.0,13.0,thetadata,30
2022-02-14,2022-03-16,2022-03-07,415.27752685546875,28.329999923706055,0.7858,very_high,0.3,389.0,401.0,436.0,448.0,8.53,347.0,495.0,True,take_profit,,12.0,12.0,thetadata,30
2022-02-22,2022-03-23,2022-03-14,406.3386535644531,28.809999465942383,0.8142,very_high,0.3,380.0,392.0,427.0,439.0,7.84,416.0,438.0,True,take_profit,,12.0,12.0,thetadata,29
2022-03-01,2022-03-31,2022-03-25,406.7264404296875,33.31999969482422,1.0,very_high,0.3,379.0,391.0,432.0,444.0,7.34,466.0,-403.0,False,stop_loss,,12.0,12.0,thetadata,30
2022-03-08,2022-04-06,2022-03-17,393.7389221191406,35.130001068115234,0.9384,very_high,0.3,365.0,377.0,418.0,430.0,3.9,810.0,-666.0,False,stop_loss,,12.0,12.0,thetadata,29
2022-03-15,2022-04-14,2022-03-28,403.1224365234375,29.829999923706055,0.6912,high,0.25,372.0,384.0,431.0,443.0,7.51,449.0,-371.0,False,stop_loss,call,12.0,12.0,thetadata,30
2022-03-22,2022-04-20,2022-04-13,426.5970764160156,22.940000534057617,0.3699,medium,0.2,394.0,407.0,453.0,466.0,4.52,848.0,408.0,True,take_profit,,13.0,13.0,thetadata,29
2022-04-13,2022-05-13,2022-04-25,420.6382751464844,21.81999969482422,0.3176,medium,0.2,388.0,401.0,447.0,460.0,6.45,655.0,375.0,True,take_profit,,13.0,13.0,thetadata,30
2022-04-21,2022-05-20,2022-05-03,415.6567077636719,22.68000030517578,0.3577,medium,0.2,384.0,396.0,442.0,454.0,5.71,629.0,324.0,True,take_profit,,12.0,12.0,thetadata,29
2022-04-28,2022-05-27,2022-05-12,405.930908203125,29.989999771118164,0.6987,high,0.25,375.0,387.0,434.0,446.0,10.11,189.0,610.0,True,take_profit,,12.0,12.0,thetadata,29
2022-05-05,2022-06-03,2022-05-23,392.6469421386719,31.200000762939453,0.7551,very_high,0.3,365.0,377.0,414.0,426.0,5.29,671.0,292.0,True,take_profit,,12.0,12.0,thetadata,29
2022-05-12,2022-06-10,2022-06-02,372.27496337890625,31.770000457763672,0.7817,very_high,0.3,348.0,358.0,394.0,405.0,7.01,399.0,-307.0,False,stop_loss,call,10.0,11.0,thetadata,29
2022-05-19,2022-06-17,2022-06-13,369.542236328125,29.350000381469727,0.6688,high,0.25,340.0,352.0,394.0,405.0,5.6,640.0,411.0,True,take_profit,,12.0,11.0,thetadata,29
2022-05-26,2022-06-24,2022-06-16,384.58160400390625,27.5,0.5826,high,0.25,355.0,367.0,409.0,421.0,10.69,131.0,641.0,True,take_profit,,12.0,12.0,thetadata,29
2022-06-03,2022-07-01,2022-06-23,389.5441589355469,24.790000915527344,0.4562,medium,0.2,358.0,370.0,417.0,429.0,4.79,721.0,242.0,True,take_profit,,12.0,12.0,thetadata,28
2022-06-10,2022-07-11,2022-06-30,369.8648986816406,27.75,0.5942,high,0.25,342.0,353.0,393.0,404.0,3.34,766.0,213.0,True,take_profit,,11.0,11.0,thetadata,31
2022-06-17,2022-07-18,2022-07-07,348.64874267578125,31.1299991607666,0.7519,very_high,0.3,325.0,335.0,368.0,378.0,5.35,465.0,-367.0,False,stop_loss,call,10.0,10.0,thetadata,31
2022-06-27,2022-07-27,2022-07-27,370.3094787597656,26.950000762939453,0.5569,high,0.25,343.0,354.0,393.0,404.0,1.2,980.0,120.0,True,expiration,,11.0,11.0,thetadata,30
2022-07-05,2022-08-03,2022-07-29,363.99139404296875,27.540000915527344,0.5844,high,0.25,336.0,347.0,387.0,398.0,9.7,130.0,-160.0,False,stop_loss,call,11.0,11.0,thetadata,29
