strategy,symbol,entry_date,expiration_date,spot_price,short_strike,long_strike,short_call_strike,long_call_strike,credit,max_loss,theoretical_pop,iv_rank,iv_at_entry,exit_price,pnl,won,reason
iron_condor,ELV,2025-11-17,2025-12-31,330.91,310.0,300.0,360.0,370.0,3.921128180785507,607.8871819214493,0.513754396893815,0.5115762748139348,0.37076501,350.55,392.1128180785507,True,Expired between short strikes
iron_condor,CI,2025-11-17,2025-12-31,271.33,250.0,240.0,290.0,300.0,2.8826494379545107,711.735056204549,0.6006946552358112,0.38565212800241117,0.30682249,275.23,288.2649437954511,True,Expired between short strikes
iron_condor,JNJ,2025-11-17,2025-12-31,199.58,190.0,185.0,210.0,215.0,1.2097607918937072,379.0239208106293,0.6374125582281552,0.3187736288425572,0.19154181,206.95,120.97607918937072,True,Expired between short strikes
iron_condor,MU,2025-11-17,2025-12-31,241.95,220.0,210.0,290.0,300.0,4.659593526711275,534.0406473288725,0.4629597541369743,0.6883232173314359,0.74449854,285.41,465.9593526711275,True,Expired between short strikes
iron_condor,GPN,2025-11-17,2025-12-31,72.58,65.0,60.0,80.0,82.5,0.8515065878805951,414.84934121194044,0.6291250650517368,0.38063769839054173,0.40468883,77.4,85.1506587880595,True,Expired between short strikes
iron_condor,MOS,2025-11-17,2025-12-31,24.52,23.0,22.0,27.0,28.0,0.3009360953122982,69.90639046877018,0.5129167251816593,0.35402862718872846,0.39448152,24.09,30.09360953122982,True,Expired between short strikes
iron_condor,EBAY,2025-11-17,2025-12-31,82.16,75.0,70.0,90.0,92.5,0.6959074671418858,430.40925328581136,0.6775555280174668,0.3776470994442623,0.32103017,87.1,69.59074671418858,True,Expired between short strikes
iron_condor,DRI,2025-11-17,2025-12-31,171.79,160.0,155.0,185.0,190.0,1.7914763740583322,320.8523625941668,0.5398662819885085,0.5476926655893585,0.34209564,184.02,179.14763740583322,True,Expired between short strikes
iron_condor,HRL,2025-11-17,2025-12-31,22.28,21.0,20.0,24.0,25.0,0.27802236531969143,72.19776346803086,0.5088304310529078,0.8081864965938025,0.33555535,23.7,27.802236531969143,True,Expired between short strikes
iron_condor,AMAT,2025-11-17,2025-12-31,228.71,210.0,200.0,260.0,270.0,3.248128724322479,675.1871275677521,0.5754420907704356,0.42712308661084775,0.45437604,256.99,324.8128724322479,True,Expired between short strikes
iron_condor,CHD,2025-11-17,2025-12-31,83.02,80.0,77.5,90.0,92.5,0.7454346355204812,175.4565364479519,0.5557648059805629,0.4628523339340512,0.25389688,83.85,74.54346355204812,True,Expired between short strikes
iron_condor,CMG,2025-11-17,2025-12-31,30.53,28.0,27.0,34.0,35.0,0.20297890481154918,79.70210951884509,0.6394160184990224,0.3040678752350828,0.36606615,37.0,-79.70210951884509,False,Call side max loss
iron_condor,GNRC,2025-11-17,2025-12-31,140.51,125.0,120.0,160.0,165.0,1.3440114150901987,365.59885849098015,0.6480574054731101,0.4332432664522272,0.45948763,136.37,134.40114150901988,True,Expired between short strikes
iron_condor,HON,2025-11-17,2025-12-31,196.08,185.0,180.0,210.0,215.0,1.1839113528090142,381.60886471909856,0.6583282235355121,0.30387997403666345,0.23103759,195.09,118.39113528090141,True,Expired between short strikes
iron_condor,KLAC,2025-11-17,2025-12-31,1133.7,1030.0,1000.0,1290.0,1320.0,10.800229360510668,1919.977063948933,0.5810513498545684,0.40473819024622437,0.47704484,1215.08,1080.0229360510668,True,Expired between short strikes
