entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,put_delta,call_delta,call_delta_offset,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2022-10-19,2022-11-18,2022-11-11,352.60711669921875,30.760000228881836,0.7346,very_high,0.3,0.3,0.23,-0.07,328.0,339.0,380.0,391.0,1.8,920.0,-799.0,False,stop_loss,call,11.0,11.0,thetadata,30
2022-11-02,2022-12-02,2022-11-23,358.7023620605469,25.860000610351562,0.504,high,0.25,0.25,0.18,-0.07,332.0,343.0,387.0,398.0,2.12,888.0,-734.0,False,stop_loss,,11.0,11.0,thetadata,30
2022-11-16,2022-12-16,2022-12-06,378.394775390625,24.110000610351562,0.3783,medium,0.2,0.2,0.13,-0.07,348.0,359.0,411.0,422.0,3.19,781.0,214.0,True,take_profit,,11.0,11.0,thetadata,30
2022-12-15,2023-01-13,2022-12-23,372.8258056640625,22.829999923706055,0.3139,medium,0.2,0.2,0.13,-0.07,344.0,355.0,405.0,416.0,2.68,832.0,145.0,True,take_profit,,11.0,11.0,thetadata,29
2023-03-15,2023-04-14,2023-04-14,374.20147705078125,26.139999389648438,0.4899,medium,0.2,0.2,0.13,-0.07,345.0,354.0,409.0,420.0,1.99,901.0,199.0,True,expiration,,9.0,11.0,thetadata,30
2023-10-18,2023-11-17,2023-11-08,418.1360168457031,19.219999313354492,0.3567,medium,0.2,0.2,0.13,-0.07,389.0,402.0,448.0,461.0,3.35,965.0,297.0,True,take_profit,,13.0,13.0,thetadata,30
2023-10-25,2023-11-24,2023-11-14,405.8313293457031,20.190000534057617,0.4712,medium,0.2,0.2,0.13,-0.07,376.0,388.0,436.0,448.0,3.42,858.0,-666.0,False,stop_loss,call,12.0,12.0,thetadata,30
2024-04-04,2024-05-03,2024-04-22,502.2480163574219,16.350000381469727,0.444,medium,0.2,0.2,0.13,-0.07,470.0,485.0,532.0,545.0,2.18,1282.0,116.0,True,take_profit,,15.0,13.0,thetadata,29
2024-04-18,2024-05-17,2024-05-01,488.9837951660156,18.0,0.6151,high,0.25,0.25,0.18,-0.07,460.0,475.0,516.0,531.0,3.49,1151.0,198.0,True,take_profit,,15.0,15.0,thetadata,29
2024-04-25,2024-05-24,2024-05-24,492.8700866699219,15.369999885559082,0.3423,medium,0.2,0.2,0.13,-0.07,462.0,477.0,520.0,535.0,2.76,1224.0,276.0,True,expiration,,15.0,15.0,thetadata,29
2024-07-30,2024-08-29,2024-08-29,532.2794189453125,17.690000534057617,0.5919,high,0.25,0.25,0.18,-0.07,502.0,518.0,561.0,577.0,2.23,1377.0,223.0,True,expiration,,16.0,16.0,thetadata,30
2024-08-06,2024-09-05,2024-09-03,512.7855224609375,27.709999084472656,0.5934,high,0.25,0.25,0.18,-0.07,475.0,489.0,557.0,572.0,4.99,1001.0,387.0,True,take_profit,,14.0,15.0,thetadata,30
2024-09-04,2024-10-04,2024-09-24,541.0689697265625,21.31999969482422,0.3542,medium,0.2,0.2,0.13,-0.07,500.0,520.0,583.0,600.0,2.04,1796.0,137.0,True,take_profit,,20.0,17.0,thetadata,30
2024-10-30,2024-11-29,2024-11-13,571.35498046875,20.350000381469727,0.3179,medium,0.2,0.2,0.13,-0.07,530.0,547.0,614.0,630.0,1.77,1523.0,111.0,True,take_profit,,17.0,16.0,thetadata,30
2024-12-19,2025-01-17,2025-01-07,577.35400390625,24.09000015258789,0.4579,medium,0.2,0.2,0.13,-0.07,531.0,548.0,627.0,644.0,0.29,1671.0,15.0,True,take_profit,,17.0,17.0,thetadata,29
2025-02-27,2025-03-28,2025-03-19,578.2593994140625,21.1299991607666,0.3471,medium,0.2,0.2,0.13,-0.07,536.0,553.0,623.0,640.0,9.45,755.0,750.0,True,take_profit,,17.0,17.0,thetadata,29
2025-03-13,2025-04-11,2025-04-02,545.0197143554688,24.65999984741211,0.4792,medium,0.2,0.2,0.13,-0.07,501.0,517.0,596.0,612.0,0.65,1535.0,37.0,True,take_profit,,16.0,16.0,thetadata,29
2025-04-17,2025-05-16,2025-05-16,521.8651733398438,29.649999618530273,0.4396,medium,0.2,0.2,0.13,-0.07,473.0,489.0,579.0,595.0,2.05,1395.0,-801.99,False,expiration,call,16.0,16.0,thetadata,29
2025-04-25,2025-05-23,2025-05-20,545.8860473632812,24.84000015258789,0.3207,medium,0.2,0.2,0.13,-0.07,500.0,518.0,597.0,613.0,4.1,1390.0,258.0,True,take_profit,,18.0,16.0,thetadata,28
2025-10-16,2025-11-14,2025-10-20,658.6936645507812,25.309999465942383,0.317,medium,0.2,0.2,0.13,-0.07,605.0,625.0,720.0,740.0,2.23,1777.0,136.0,True,take_profit,,20.0,20.0,thetadata,29
2025-11-20,2025-12-19,2025-11-24,650.6075439453125,26.420000076293945,0.345,medium,0.2,0.2,0.13,-0.07,595.0,615.0,712.0,730.0,2.38,1762.0,123.0,True,take_profit,,20.0,18.0,thetadata,29
