entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,put_delta,call_delta,call_delta_offset,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2022-10-19,2022-11-18,2022-11-10,352.60711669921875,30.760000228881836,0.7346,very_high,0.3,0.3,0.3,0.0,328.0,339.0,372.0,383.0,3.04,796.0,-682.0,False,stop_loss,call,11.0,11.0,thetadata,30
2022-11-02,2022-12-02,2022-11-22,358.7023620605469,25.860000610351562,0.504,high,0.25,0.25,0.25,0.0,332.0,343.0,380.0,391.0,3.22,778.0,-687.0,False,stop_loss,call,11.0,11.0,thetadata,30
2022-11-09,2022-12-09,2022-11-25,357.9942932128906,26.09000015258789,0.4861,medium,0.2,0.2,0.2,0.0,325.0,338.0,383.0,394.0,4.28,872.0,-945.0,False,stop_loss,call,13.0,11.0,thetadata,30
2022-11-16,2022-12-16,2022-12-07,378.394775390625,24.110000610351562,0.3783,medium,0.2,0.2,0.2,0.0,348.0,359.0,404.0,415.0,4.42,658.0,243.0,True,take_profit,,11.0,11.0,thetadata,30
2022-12-15,2023-01-13,2022-12-27,372.8258056640625,22.829999923706055,0.3139,medium,0.2,0.2,0.2,0.0,344.0,355.0,396.0,407.0,4.33,667.0,227.0,True,take_profit,,11.0,11.0,thetadata,29
2023-03-15,2023-04-14,2023-04-13,374.20147705078125,26.139999389648438,0.4899,medium,0.2,0.2,0.2,0.0,345.0,354.0,401.0,412.0,3.49,751.0,-716.0,False,stop_loss,,9.0,11.0,thetadata,30
2023-10-18,2023-11-17,2023-11-08,418.1360168457031,19.219999313354492,0.3567,medium,0.2,0.2,0.2,0.0,389.0,402.0,441.0,454.0,4.86,814.0,302.0,True,take_profit,,13.0,13.0,thetadata,30
2023-10-25,2023-11-24,2023-11-14,405.8313293457031,20.190000534057617,0.4712,medium,0.2,0.2,0.2,0.0,376.0,388.0,428.0,440.0,5.27,673.0,-638.0,False,stop_loss,call,12.0,12.0,thetadata,30
2024-04-04,2024-05-03,2024-04-18,502.2480163574219,16.350000381469727,0.444,medium,0.2,0.2,0.2,0.0,470.0,485.0,526.0,540.0,3.45,1155.0,178.0,True,take_profit,,15.0,14.0,thetadata,29
2024-04-18,2024-05-17,2024-05-15,488.9837951660156,18.0,0.6151,high,0.25,0.25,0.25,0.0,460.0,475.0,509.0,524.0,5.27,973.0,-963.0,False,stop_loss,call,15.0,15.0,thetadata,29
2024-04-25,2024-05-24,2024-05-15,492.8700866699219,15.369999885559082,0.3423,medium,0.2,0.2,0.2,0.0,462.0,477.0,514.0,529.0,4.5,1050.0,-799.0,False,stop_loss,call,15.0,15.0,thetadata,29
2024-07-30,2024-08-29,2024-08-29,532.2794189453125,17.690000534057617,0.5919,high,0.25,0.25,0.25,0.0,502.0,518.0,553.0,569.0,5.84,1016.0,584.0,True,expiration,,16.0,16.0,thetadata,30
2024-09-04,2024-10-04,2024-10-03,541.0689697265625,21.31999969482422,0.3542,medium,0.2,0.2,0.2,0.0,500.0,520.0,573.0,589.0,2.69,1731.0,196.0,True,take_profit,,20.0,16.0,thetadata,30
2024-10-09,2024-11-08,2024-11-07,568.5277099609375,20.860000610351562,0.337,medium,0.2,0.2,0.2,0.0,525.0,544.0,602.0,620.0,0.29,1871.0,18.0,True,take_profit,,19.0,18.0,thetadata,30
2024-10-30,2024-11-29,2024-11-15,571.35498046875,20.350000381469727,0.3179,medium,0.2,0.2,0.2,0.0,530.0,547.0,603.0,620.0,3.0,1400.0,232.0,True,take_profit,,17.0,17.0,thetadata,30
2024-12-19,2025-01-17,2025-01-07,577.35400390625,24.09000015258789,0.4579,medium,0.2,0.2,0.2,0.0,531.0,548.0,616.0,633.0,0.95,1605.0,76.0,True,take_profit,,17.0,17.0,thetadata,29
2025-02-27,2025-03-28,2025-03-19,578.2593994140625,21.1299991607666,0.3471,medium,0.2,0.2,0.2,0.0,536.0,553.0,612.0,630.0,10.47,753.0,852.0,True,take_profit,,17.0,18.0,thetadata,29
2025-03-13,2025-04-11,2025-04-11,545.0197143554688,24.65999984741211,0.4792,medium,0.2,0.2,0.2,0.0,501.0,517.0,583.0,599.0,1.91,1409.0,191.0,True,expiration,,16.0,16.0,thetadata,29
2025-04-17,2025-05-16,2025-05-12,521.8651733398438,29.649999618530273,0.4396,medium,0.2,0.2,0.2,0.0,473.0,489.0,565.0,581.0,3.04,1296.0,-1020.0,False,stop_loss,call,16.0,16.0,thetadata,29
2025-04-25,2025-05-23,2025-05-09,545.8860473632812,24.84000015258789,0.3207,medium,0.2,0.2,0.2,0.0,500.0,518.0,584.0,600.0,3.44,1456.0,186.0,True,take_profit,,18.0,16.0,thetadata,28
2025-10-16,2025-11-14,2025-10-20,658.6936645507812,25.309999465942383,0.317,medium,0.2,0.2,0.2,0.0,605.0,625.0,705.0,725.0,2.55,1745.0,134.0,True,take_profit,,20.0,20.0,thetadata,29
2025-11-20,2025-12-19,2025-12-08,650.6075439453125,26.420000076293945,0.345,medium,0.2,0.2,0.2,0.0,595.0,615.0,699.0,719.0,2.78,1722.0,161.0,True,take_profit,,20.0,20.0,thetadata,29
