entry_date,exit_date,expiration,strike,quantity,entry_price,exit_price,pnl_pct,pnl_dollar,days_held,exit_reason,contract_cost,entry_delta,entry_spot,entry_sma200,entry_pct_above_sma,entry_std_above_sma,entry_trailing_12m_return
2018-02-09,2018-03-12,2018-06-15,132.0,1,28.22,42.64,0.5109851169383417,1442.0,20,PT,2822.0,0.7965442511575632,148.1433868408203,140.2533190536499,0.05625583651358931,3.2648703800329377,0.2407283789224577
2018-02-13,2018-03-12,2018-06-15,139.0,1,23.78,35.93,0.510933557611438,1215.0,18,PT,2378.0,0.7871871207674878,151.55039978027344,140.48447593688965,0.07876972718576372,4.439662339726693,0.25796695483234333
2018-01-22,2018-04-18,2018-05-18,150.0,1,20.82,16.93,-0.18683957732949086,-389.0,60,MH,2082.0,0.8041384577765933,159.5507049560547,138.02953311920166,0.1559171530216468,25.1276341482501,0.37649009680359424
2018-01-23,2018-04-19,2018-05-18,151.0,1,20.73,14.47,-0.30197780993728895,-626.0,60,MH,2073.0,0.803582416400172,160.86984252929688,138.21170169830322,0.1639379339996349,26.211850683306835,0.3867458719619621
2018-01-24,2018-04-20,2018-05-18,150.0,1,21.0,13.32,-0.36571428571428566,-768.0,60,MH,2100.0,0.7907920439861666,159.82594299316406,138.38898044586182,0.15490368147981584,23.550928498920506,0.36853831993737907
2018-01-25,2018-04-23,2018-05-18,150.0,1,20.88,12.85,-0.38457854406130265,-803.0,60,MH,2088.0,0.7864212236118214,159.76898193359375,138.56573879241944,0.1530193778487925,24.23932990042277,0.3544168319595504
2018-01-26,2018-04-24,2018-05-18,152.0,1,21.19,8.39,-0.6040585181689476,-1280.0,60,MH,2119.0,0.8010411257404695,162.217529296875,138.75742584228516,0.16907277799499631,25.00018498175083,0.373750723875095
2018-01-29,2018-04-25,2018-05-18,150.0,1,22.33,10.49,-0.5302283922973577,-1184.0,60,MH,2233.0,0.8065952514441215,161.42982482910156,138.94767192840575,0.1618030197172355,22.967006633608893,0.3644712915812378
2018-01-30,2018-04-26,2018-05-18,149.0,1,22.07,14.96,-0.3221567739012233,-711.0,60,MH,2207.0,0.7914412123332248,160.1011505126953,139.13372478485107,0.1506998088369096,20.886822026066337,0.3638657479155576
2018-02-01,2018-04-30,2018-05-18,148.0,1,21.96,13.3,-0.3943533697632058,-866.0,60,MH,2196.0,0.8114194022520349,159.39889526367188,139.49640522003173,0.14267385609146965,20.949444191203607,0.3512794794587104
2018-02-02,2018-05-01,2018-06-15,144.0,1,24.52,19.62,-0.19983686786296895,-490.0,60,MH,2452.0,0.7973874898384443,156.2196044921875,139.65791416168213,0.11858755323620174,14.024546362448808,0.32549001533154964
2018-02-05,2018-05-02,2018-06-15,131.0,1,30.72,30.78,0.001953125,6.0,60,MH,3072.0,0.8051486430505104,150.0604248046875,139.78344409942628,0.07352072894949799,6.030404918258259,0.26958365015820807
