entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,short_put,long_put,put_width,credit,max_loss,pnl,won,exit_reason,side_breached,data_source,dte,sma_value,sma_period,sma_filter_active,stop_loss_mult
2022-06-08,2022-07-08,2022-06-10,390.18939208984375,23.959999084472656,0.4174,medium,0.2,370.0,358.0,12.0,0.7,1130.0,-154.0,False,stop_loss,put,thetadata,30,,0,False,2.0
2022-07-08,2022-08-08,2022-07-26,370.38568115234375,24.639999389648438,0.4492,medium,0.2,352.0,341.0,11.0,1.45,955.0,133.0,True,take_profit,,thetadata,31,,0,False,2.0
2022-07-15,2022-08-15,2022-07-20,367.01220703125,24.229999542236328,0.43,medium,0.2,348.0,335.0,13.0,0.72,1228.0,39.0,True,take_profit,,thetadata,31,,0,False,2.0
2022-08-26,2022-09-26,2022-09-16,386.242919921875,25.559999465942383,0.4921,medium,0.2,365.0,353.0,12.0,1.64,1036.0,101.0,True,take_profit,,thetadata,31,,0,False,2.0
2022-09-02,2022-10-03,2022-09-23,373.7878112792969,25.469999313354492,0.4879,medium,0.2,353.0,342.0,11.0,0.44,1056.0,-93.0,False,stop_loss,put,thetadata,31,,0,False,2.0
2022-09-12,2022-10-12,2022-10-11,391.63671875,23.8700008392334,0.4132,medium,0.2,372.0,360.0,12.0,3.22,878.0,-741.0,False,stop_loss,put,thetadata,30,,0,False,2.0
2022-09-19,2022-10-19,2022-09-26,371.7924499511719,25.760000228881836,0.5014,high,0.25,356.0,345.0,11.0,0.88,1012.0,-221.0,False,stop_loss,put,thetadata,30,,0,False,2.0
2022-09-26,2022-10-26,2022-10-04,348.5978698730469,32.2599983215332,0.8046,very_high,0.3,335.0,325.0,10.0,1.24,876.0,86.0,True,take_profit,,thetadata,30,,0,False,2.0
2022-10-17,2022-11-16,2022-11-07,350.99951171875,31.3700008392334,0.7631,very_high,0.3,337.0,326.0,11.0,0.14,1086.0,9.0,True,take_profit,,thetadata,30,,0,False,2.0
2022-10-24,2022-11-23,2022-10-28,362.52984619140625,29.850000381469727,0.6909,high,0.25,346.0,335.0,11.0,1.05,995.0,66.0,True,take_profit,,thetadata,30,,0,False,2.0
2022-10-31,2022-11-30,2022-11-22,369.5533447265625,25.8799991607666,0.5049,high,0.25,354.0,343.0,11.0,1.94,906.0,191.0,True,take_profit,,thetadata,30,,0,False,2.0
2022-11-07,2022-12-07,2022-11-10,363.5632629394531,24.350000381469727,0.3998,medium,0.2,345.0,335.0,10.0,0.54,946.0,34.0,True,take_profit,,thetadata,30,,0,False,2.0
2023-03-20,2023-04-19,2023-04-11,379.93316650390625,24.149999618530273,0.372,medium,0.2,361.0,350.0,11.0,0.01,1099.0,-2.0,False,stop_loss,,thetadata,30,,0,False,2.0
2023-10-23,2023-11-22,2023-11-22,408.65960693359375,20.3700008392334,0.4433,medium,0.2,391.0,379.0,12.0,0.01,1199.0,1.0,True,expiration,,thetadata,30,,0,False,2.0
2024-04-09,2024-05-09,2024-05-03,508.36614990234375,14.979999542236328,0.3019,medium,0.2,492.0,475.0,17.0,0.63,1637.0,58.0,True,take_profit,,thetadata,30,,0,False,2.0
2024-04-23,2024-05-23,2024-05-16,494.9844970703125,15.6899995803833,0.3755,medium,0.2,480.0,465.0,15.0,0.05,1495.0,3.0,True,take_profit,,thetadata,30,,0,False,2.0
2024-07-19,2024-08-19,2024-08-08,539.1441040039062,16.520000457763672,0.4731,medium,0.2,520.0,504.0,16.0,8.33,767.0,605.0,True,take_profit,,thetadata,31,,0,False,2.0
2024-08-02,2024-08-30,2024-08-13,523.3427124023438,23.389999389648438,1.0,very_high,0.3,509.0,493.0,16.0,1.76,1424.0,118.0,True,take_profit,,thetadata,28,,0,False,2.0
2024-08-09,2024-09-09,2024-08-30,523.4310302734375,20.3700008392334,0.3186,medium,0.2,500.0,485.0,15.0,0.02,1498.0,1.0,True,take_profit,,thetadata,31,,0,False,2.0
2025-03-04,2025-04-03,2025-03-25,570.16455078125,23.510000228881836,0.4362,medium,0.2,543.0,526.0,17.0,1.7,1530.0,148.0,True,take_profit,,thetadata,30,,0,False,2.0
2025-03-18,2025-04-17,2025-03-24,554.5083618164062,21.700000762939453,0.3684,medium,0.2,529.0,512.0,17.0,1.68,1532.0,124.0,True,take_profit,,thetadata,30,,0,False,2.0
2025-04-01,2025-05-01,2025-04-21,556.1267700195312,21.770000457763672,0.371,medium,0.2,530.0,513.0,17.0,0.6,1640.0,-914.0,False,stop_loss,put,thetadata,30,,0,False,2.0
2025-04-08,2025-05-08,2025-05-02,492.1936340332031,52.33000183105469,1.0,very_high,0.3,460.0,445.0,15.0,0.05,1495.0,4.0,True,take_profit,,thetadata,30,,0,False,2.0
2025-04-15,2025-05-15,2025-05-06,532.9684448242188,30.1200008392334,0.4512,medium,0.2,500.0,484.0,16.0,0.56,1544.0,43.0,True,take_profit,,thetadata,30,,0,False,2.0
2025-04-23,2025-05-23,2025-04-25,530.79736328125,28.450000762939453,0.4099,medium,0.2,500.0,485.0,15.0,1.85,1315.0,99.0,True,take_profit,,thetadata,30,,0,False,2.0
2025-04-30,2025-05-30,2025-05-08,549.7523803710938,24.700000762939453,0.3173,medium,0.2,522.0,506.0,16.0,1.69,1431.0,90.0,True,take_profit,,thetadata,30,,0,False,2.0
2025-11-18,2025-12-18,2025-12-11,658.1353149414062,24.690000534057617,0.3013,medium,0.2,625.0,605.0,20.0,0.11,1989.0,8.0,True,take_profit,,thetadata,30,,0,False,2.0
